"Date","Company","Title","Location","Description","Level","Type","Function","Industry","Link"
"2024-02-01","Wings Group Indonesia (Sayap Mas Utama)","Software Engineer (Front-End & Back-End)","East Jakarta, Jakarta, Indonesia","Responsibilities


Develop various Web Application development projects based on business needs.
Creating and managing the project’s timeline according to pre-determined target
Develop and direct software system validation and testing methods
Testing new software and fixing bugs on a daily basis
Applying best practices and standard operating procedures
Make a planning analysis of the mobile application that is made
Make documentation and progress reports on the work he makes


Requirements


Candidate must possess at least Bachelor's Degree in Technical Information / Information System or any major with a minimum GPA of 3.00 (on a scale of 4.0)
At least 1-2 years of Software Engineer.
Having strong analysis, problem-solving skills, initiative, teamwork & Excellent communication skills
Expertise in React JS (Front-End) or Node JS (Back-End)
Show more ","Entry level","Full-time","Engineering and Information Technology","Consumer Goods","https://id.linkedin.com/jobs/view/software-engineer-front-end-back-end-at-wings-group-indonesia-sayap-mas-utama-3818183786?position=1&pageNum=0&refId=YxykBs%2BX5bDpru7Qko3SvQ%3D%3D&trackingId=ogQEP0cJCZyDvQEV0%2Fg2zQ%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-04-18","PT. Qtasnim Digital Teknologi","Web Developer (Rumah Sakit)","Bandung, East Java, Indonesia","Job Description


Membangun/mengembangkan software terutama pada tahap construction dan customizasation dengan melakukan coding dengan teknologi bahasa pemprograman yang ditentukan
Mengimplementasikan requirement dan desain proses bisnis ke komputer dengan menggunakan algoritma/logika dan bahasa pemprograman yang di tentukan
Melakukan unit test terhadap software yang dibangun/dikembangkan
Bekerja sama dengan team dalam menyelesaikan pekerjaan


Requirement


Minimal Pendidikan D1/D3/D4/S1 Teknik Informatika / Manajemen Informatika / Sistem Informasi
Memiliki kemampuan Komunikasi yang kuat, Problem Solving dan Decision Making yang baik
Pengalaman minimal 1 tahun sebagai Web Developer
Pernah terlibat project IT sebagai Web Developer
Siap ditempatkan diluar Bandung (Cirebon)


Technical Expertise


Menguasai algoritma dasar dan logika pemrograman
Menguasai Bahasa pemrograman berbasis Web dan Mobile;
Web: PHP, HTML, Javascript, EXtjs, CI, Laravel
Mobile: Flutter
Integration: REST API, JASON, FHIR FL7, Dicom
Menguasai database (SQL/MySQL/PostgreSQL)
Memahami framework 
Memahami RDBMS (Relational Database Management System)
Pengalaman sebagai developer minimal 1 tahun, diutamakan pernah mengembangkan aplikasi SIMRS (Sistem Informasi Rumah Sakit)
Show more ","Associate","Full-time","Engineering and Information Technology","IT Services and IT Consulting","https://id.linkedin.com/jobs/view/web-developer-rumah-sakit-at-pt-qtasnim-digital-teknologi-3903480208?position=2&pageNum=0&refId=YxykBs%2BX5bDpru7Qko3SvQ%3D%3D&trackingId=Acnhxrk%2FaWNOJ3RdKPXwJA%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-05-16","Sprout Digital Labs","Front End Developer","Kota Tangerang Selatan, Banten, Indonesia","Responsibilities


Design and build advanced applications for the Web platform.
Building reusable components and front-end libraries for future use.
Developing new user-facing features using React.js, Nextjs, Flutter web.
Translating designs and wireframes into high quality code.
Optimizing components for maximum performance across a vast array of web-capable devices and browsers.
Work on bug fixing and improving application performance.
Work with outside data source with APIs.


Requirements


Experience in the related field
Bachelor's degree or College graduate
Proficient knowledge of the front-end programming techstack such as React.js, Nextjs, Flutter web.
Show more ","Entry level","Full-time","Engineering and Information Technology","Information Technology & Services","https://id.linkedin.com/jobs/view/front-end-developer-at-sprout-digital-labs-3927671738?position=3&pageNum=0&refId=YxykBs%2BX5bDpru7Qko3SvQ%3D%3D&trackingId=VgQ9ccJVpyFDfBH9R4uHPA%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-01-16","Wings Group Indonesia (Sayap Mas Utama)","Back-End Software Engineer","East Jakarta, Jakarta, Indonesia","Responsibilities


Design, develop, and maintain server-side applications, ensuring optimal performance and responsiveness.
Develop robust and scalable APIs for seamless communication between the front-end and back-end systems.
Write clean and efficient code, optimizing for speed, scalability, and maintainability.
Implement security and data protection measures, such as encryption and user authentication.
Collaborate with front-end developers to integrate user-facing elements using server-side logic.
Create and maintain technical documentation for code, APIs, and system architecture.


Requirements


Candidate must own at least Bachelor's degree (S1) in Computer Science / Information Systems or a related field with a minimum GPA of 3.00 (on a scale of 4.00).
Minimum 1-2 years of experience in programming, or fresh graduates are allowed to apply.
Has a minimum of 1-2 years of experience using Node.js.
Proficiency in NestJS, Javascript ES6, TypeORM, and TypeScript is an additional advantage.
Knowledge of web application security and experience with source control are additional advantage.
Familiarity with Restful API, SQL, and NoSQL databases.
Understanding of microservices and experience with AWS serverless is a plus.
Show more ","Entry level","Full-time","Engineering and Information Technology","Consumer Goods","https://id.linkedin.com/jobs/view/back-end-software-engineer-at-wings-group-indonesia-sayap-mas-utama-3806175619?position=4&pageNum=0&refId=YxykBs%2BX5bDpru7Qko3SvQ%3D%3D&trackingId=3XdW3heIRvPU9ywQal7Qbw%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-05-13","StickEarn","Software Engineer","Gambir, Jakarta, Indonesia","Job Description:

Participate in overall product system design.
Work on new and existing products using the latest technologies including PHP 8.2 & Laravel 9 or Node.js 16 & Adonis 5.0.
Develop APIs for frontend Vue.js and for internal service purposes.
Build products with maintainable, extensible, and scalable codes.
Follow existing, further develop, or propose new software design patterns to improve team-wide development processes.
Look for, evaluate, and implement the latest technology to improve development efficiency. 


Job Requirement:


Must possess at least a Bachelor’s degree or equivalent, majoring in Information Technology or Computer Science
At least 1 year of experience working as a Programmer
Have essential skills in PHP Laravel or Node.js Adonis
Experienced in MySQL and creating performant queries
Familiarity with good development practices such as OOP and SOLID principle
Familiarity with frontend technologies
Ability to work independently and strive to write readable and understandable code.
Familiarity with Jira, Bitbucket, and the Git Feature Branch Workflow
Familiarity in working with GCP products like GCE, Cloud Storage, Drive services, etc
Have Vue.js knowledge and General CSS knowledge will be an advantage
Show more ","Associate","Full-time","Other","Advertising Services","https://id.linkedin.com/jobs/view/software-engineer-at-stickearn-3925128679?position=5&pageNum=0&refId=YxykBs%2BX5bDpru7Qko3SvQ%3D%3D&trackingId=qQUsMpJh4CM41ME5b5ZC7w%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-04-04","BOSNET by Telkom Indonesia","Software Developer","Jakarta, Jakarta, Indonesia","Coding with company’s standard methodology and policy.
Debugging
Testing
Technical installation/deployment
Technical optimization
Perform database management (Query, Restore Backup, Tuning, etc.)
Update progress to Lead and Project Manager


Minimum Qualifications


Minimum Diploma in Computer Science / Information Technology / Engineering / Mathematics / Physics / Science and Technology from reputable university
Fresh graduate are welcome to apply
Preferable 2 years of working experience in the related position
Required Skills : VB Net or C# Net or Java / PHP / C++ and TSQL (MySQL / SQL Server)
Like to do coding/programming
Highly motivated with spirit to learn new things
Good attitude, commitment to work and good team player
Good problem solving, analytical and leadership skill
Ability to work independently or in a group
Show more ","Entry level","Full-time","Engineering and Information Technology","Technology, Information and Internet","https://id.linkedin.com/jobs/view/software-developer-at-bosnet-by-telkom-indonesia-3885663698?position=6&pageNum=0&refId=YxykBs%2BX5bDpru7Qko3SvQ%3D%3D&trackingId=ULvXdhGIMi685uxOANXOcg%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-01-12","bit. (PT. Bringin Inti Teknologi)","Front End Developer","Jakarta, Jakarta, Indonesia","Responsibilities


Develop user interfaces with JavaScript frameworks (React, Vue.js).
Implement and manage JavaScript libraries (jQuery, Bootstrap).
Integrate and consume REST APIs in web applications.
Use Git and GitHub for version control and collaborative development.
Collaborate with backend developers
Ensure cross-browser and device compatibility of applications.
Optimize front-end code for performance and scalability.
Conduct thorough testing and debugging to maintain high-quality code.


Requirements


Bachelor's degree in computer science or a related field
Knowledge of JavaScript frameworks such as React and Vue JS
Experience with JavaScript libraries such as jQuery and Bootstrap
Experience consuming REST APIs for web
Have experience with Git and Github
Experienced in laravel and codeigniter is a plus
Show more ","Entry level","Full-time","Engineering and Information Technology","IT Services and IT Consulting","https://id.linkedin.com/jobs/view/front-end-developer-at-bit-pt-bringin-inti-teknologi-3804085345?position=7&pageNum=0&refId=YxykBs%2BX5bDpru7Qko3SvQ%3D%3D&trackingId=j6IDw%2F5ZHc00lQC7KfFLvQ%3D%3D&trk=public_jobs_jserp-result_search-card"
"2023-11-21","Sagara Technology","Front-end Developer (Web)","Bandung, East Java, Indonesia","Use markup languages like HTML to create user-friendly web pages
Maintain and improve website
Optimize applications for maximum speed
Design mobile-based features
Collaborate with back-end developers and web designers to improve usability
Get feedback from, and build solutions for, users and customers
Write functional requirement documents and guides
Create quality mockups and prototypes
Help back-end developers with coding and troubleshooting
Ensure high quality graphic standards and brand consistency
Stay up-to-date on emerging technologies
Show more ","Entry level","Full-time","Engineering and Information Technology","IT Services and IT Consulting","https://id.linkedin.com/jobs/view/front-end-developer-web-at-sagara-technology-3765737223?position=8&pageNum=0&refId=YxykBs%2BX5bDpru7Qko3SvQ%3D%3D&trackingId=%2BV3nOaEwyPsxlVI6GkibPg%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-05-10","PT. Sarimelati Kencana Tbk.","Junior Android Developer","Jakarta, Indonesia","Job Description:

Conceptualizing and formulating apps that are suitable for use on all types of Android devices
Implementing measures to safeguard users data
Ensuring that the construction and presentation of your apps are congruent with the company's standart
Collaborating with UI and UX Designers, as well as Software Testers, to ensure that each app is presentable and in perfect working order
Monitoring apps reviews to detect areas for improvement
Creating and deploy apps updates, including bug fixes and additional features for release




Requirements:

Degree in software development, computer science or similar
Having good knowledge in Java and Kotlin
Familiarity with RESTful APIs to connect Android applications to back-end services
Familiarity with cloud message APIs and push notifications
Ability to use the Android Studio, including the Android SDK with ease
Having good knowledge of code versioning tools, such as Git
Ability to manage your workload with minimal supervision
Unwavering curiosity
Show more ","Associate","Full-time","Information Technology, Engineering, and Other","Food and Beverage Services, Food and Beverage Manufacturing, and Restaurants","https://id.linkedin.com/jobs/view/junior-android-developer-at-pt-sarimelati-kencana-tbk-3919050032?position=9&pageNum=0&refId=YxykBs%2BX5bDpru7Qko3SvQ%3D%3D&trackingId=eR2WfV8OWKEbDmwXUIRfGQ%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-04-23","PT Prima Vista Solusi","Web Developer","Jakarta, Jakarta, Indonesia","Design and develop Web application
Support and maintain software system installed


Kualifikasi Minimum


Bachelor degree in Computer Science/Information Technology or equivalent from reputable university with minimum GPA 3.00
Required skill(s): PHP, SQL, HTML, J-Query/Java Script
Understand of web standards, backend and frontend programming
A self-discipline team player with friendly attitude
Fresh graduates are welcome to apply
Show more ","Entry level","Full-time","Engineering and Information Technology","IT Services and IT Consulting","https://id.linkedin.com/jobs/view/web-developer-at-pt-prima-vista-solusi-3907631275?position=10&pageNum=0&refId=YxykBs%2BX5bDpru7Qko3SvQ%3D%3D&trackingId=RocjqPKUboue2X8zBd73sQ%3D%3D&trk=public_jobs_jserp-result_search-card"
